onset	duration	trial_type	response_time	stim_file
8	1.5	Seq-4-N3	n/a	fractals_secondround/browns/i3002.jpeg
16	1.5	Seq-2-2	n/a	fractals/greens/j4115.jpeg
24	1.5	NonSeq-N8	n/a	fractals_secondround/browns/i4028.jpeg
32	1.5	Seq-1-N3	n/a	fractals_secondround/cyans/i9016.jpeg
40	1.5	Seq-3-4-ToolA	n/a	tools/colander/097a.jpg
48	1.5	Seq-2-N4	n/a	fractals_secondround/purples/i8016.jpeg
56	1.5	Seq-4-N4	n/a	fractals_secondround/blues/i9001.jpeg
64	1.5	Seq-1-4-AnimalB	n/a	animals/tiger/whitetiger.jpg
72	1.5	Repeat	0.614637266844511	animals/tiger/whitetiger.jpg
80	1.5	Seq-3-3	n/a	fractals/browns/j9155.jpeg
88	1.5	NonSeq-1	n/a	fractals/cyans/j4053.jpeg
96	1.5	NonSeq-AnimalB	n/a	animals/horse/horse.jpg
104	1.5	Seq-1-4-AnimalA	n/a	animals/tiger/0.89_cat-tigerwhite.jpg
112	1.5	Seq-4-2	n/a	fractals/cyans/j5086.jpeg
120	1.5	Seq-3-4-ToolB	n/a	tools/colander/097b.jpg
128	1.5	NonSeq-6	n/a	fractals/greys/j7127.jpeg
136	1.5	NonSeq-2	n/a	fractals/reds/j3112.jpeg
144	1.5	NonSeq-ToolA	n/a	tools/eggbeater/187a.jpg
152	1.5	Seq-2-N3	n/a	fractals_secondround/reds/i3022.jpeg
160	1.5	Seq-4-3	n/a	fractals/greys/j5125.jpeg
168	1.5	Seq-3-N3	n/a	fractals_secondround/greys/i8010.jpeg
176	1.5	NonSeq-AnimalA	n/a	animals/horse/horse copy.jpg
184	1.5	NonSeq-N9	n/a	fractals_secondround/pinks/i7021.jpeg
192	1.5	Seq-4-4-ToolB	n/a	tools/wateringcan/042b.jpg
200	1.5	Seq-1-N4	n/a	fractals_secondround/greens/i6004.jpeg
208	1.5	Seq-2-1	n/a	fractals/pinks/j7028.jpeg
216	1.5	NonSeq-N7	n/a	fractals_secondround/yellows/i3034.jpeg
224	1.5	NonSeq-N10	n/a	fractals_secondround/greens/i10001.jpeg
232	1.5	Seq-1-1	n/a	fractals/browns/j9058.jpeg
240	1.5	Seq-2-3	n/a	fractals/yellows/j1132.jpeg
248	1.5	NonSeq-5	n/a	fractals/purples/j1033.jpeg
256	1.5	Seq-4-4-ToolA	n/a	tools/wateringcan/042a.jpg
264	1.5	NonSeq-4	n/a	fractals/blues/j7053.jpeg
272	1.5	Seq-3-2	n/a	fractals/blues/j5081.jpeg
280	1.5	Repeat	0.750037572812289	fractals/blues/j5081.jpeg
288	1.5	Seq-1-3	n/a	fractals/pinks/j2031.jpeg
296	1.5	Seq-4-1	n/a	fractals/purples/j5024.jpeg
304	1.5	Seq-3-N4	n/a	fractals_secondround/pinks/i6000.jpeg
312	1.5	Seq-1-2	n/a	fractals/yellows/j5099.jpeg
320	1.5	NonSeq-ToolB	n/a	tools/eggbeater/187b.jpg
328	1.5	Seq-2-4-AnimalA	n/a	animals/giraffe/1.03_giraffe.jpg
336	1.5	NonSeq-3	n/a	fractals/greens/j6137.jpeg
344	1.5	Seq-3-1	n/a	fractals/reds/j10153.jpeg
352	1.5	Seq-2-4-AnimalB	n/a	animals/giraffe/giraffe.jpg
